ID,Item,Company,Quantity,Currency,Conversion Rate,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items)
,,,,,,eamauj4vmf,CM 200 Pages OSR Single Ruled Record Book,2,68.36,Nos
,,,,,,eamh8r5n39,CM 100 Pages OSR Single Ruled Record Book,2,42.4,Nos
,,,,,,eam292slcu,CM Crown 100 pages Plain Book,1,22.5,Nos
,,,,,,eamkr3rmgi,SAS Flat File,1,13.14,Nos
,,,,,,eam8p4j0na,File Folder,1,4.43,Nos
,,,,,,eamnm68i58,A4 Size Colour Paper Packet (25 sheets),1,19.42,Nos
,,,,,,eam0cimhqq,Transparent Roll,1,33.75,Nos
,,,,,,eami73sgmn,SAS BP Label Sheet,1,4.24,Nos
,,,,,,eamhn53e77,Poster Paint (6 Shades),1,50,Nos
,,,,,,eamenlesii,"Flat Brushes - Size 1,3,5,6",6,88.75,Nos
,,,,,,eam662pe89,A4 Size Plain Sheets (25 sheets),2,18.64,Nos
,,,,,,eam1a9jg21,Opendoor Thinking Assessment-SAS,2,480,Nos
,,,,,,eammf68smb,Worksheet,1,300,Nos
,,,,,,eam742ekka,SAS BP Almanac,1,75,Nos
,,,,,,eam3l30u1a,SAS BP Mini Almanac,1,10.5,Nos
,,,,,,eams98on1a,SAS BP ID Card,1,78,Nos
,,,,,,eamrr3q3gf,DSE KIT,1,0,Nos
BOM-Grade 9 DSE Bookkit - (TE/CA/HS/SST)-001,Grade 9 DSE Bookkit - (TE/CA/HS/SST),Inventre Edu Services Pvt Ltd,1,INR,1,fls9ocg0b6,Beehive,1,0,Nos
,,,,,,fls3g72gp7,Moments - English Suppl. Rdr,1,0,Nos
,,,,,,flsdl00bom,Words and Expressions 1,1,0,Nos
,,,,,,fls7tlrpt0,Contemporary India - Geography Grade 9,1,0,Nos
,,,,,,flsvvui1t2,India & Contemporary World History Grade 9,1,0,Nos
,,,,,,fls6f3nv7e,Democratic Politics Grade 9,1,0,Nos
,,,,,,flshktn2sn,Economics Textbook,1,0,Nos
,,,,,,flspj0epqv,Anmol hindi Vyakaran thatha rachana - 9,1,244.8,Nos
,,,,,,flsdgnjeh9,Sparsh Grade 9,1,0,Nos
,,,,,,fls2ccelon,Sanchayan I,1,0,Nos
,,,,,,fls23vv51t,Computer applications by Sumita Arora Gr IX,1,0,Nos
,,,,,,flsn1jqq19,Comprehensive Home Science for Class IX- Anju Chauhan,1,0,Nos
,,,,,,flstg6sokp,CM Crown 200 pages Single ruled,12,47.41,Nos
,,,,,,fls0qhl9tq,CM Crown 200 pages Maths ruled,6,47.41,Nos
,,,,,,fls9do5lkl,CM 50 Pages Plain Drawing Book,1,22.93,Nos
,,,,,,flsa9ta8c7,CM Long 50 Pages Graph Book,1,22.44,Nos
,,,,,,fls7i5auag,CM 200 Pages OSR Single Ruled Record Book,2,68.36,Nos
,,,,,,flsh157nkd,CM 100 Pages OSR Single Ruled Record Book,2,42.4,Nos
,,,,,,fls9jr30ad,CM Crown 100 pages Plain Book,1,22.5,Nos
,,,,,,fls6dio3pk,SAS Flat File,1,13.14,Nos
,,,,,,flsr7r6ia2,File Folder,1,4.43,Nos
,,,,,,flsl5f9jaj,A4 Size Colour Paper Packet (25 sheets),1,19.42,Nos
,,,,,,fls205rlni,Transparent Roll,1,33.75,Nos
,,,,,,flsn5mo3n3,SAS BP Label Sheet,1,4.24,Nos
,,,,,,fls5huhbuv,Poster Paint (6 Shades),1,50,Nos
,,,,,,flsh9endms,"Flat Brushes - Size 1,3,5,6",6,88.75,Nos
,,,,,,flshidkh5v,A4 Size Plain Sheets (25 sheets),2,18.64,Nos
,,,,,,flst2302m4,Opendoor Thinking Assessment-SAS,2,480,Nos
,,,,,,flsvib7eg0,Worksheet,1,300,Nos
,,,,,,flsimjf0jn,SAS BP Almanac,1,75,Nos
,,,,,,fls5gvm19i,SAS BP Mini Almanac,1,10.5,Nos
,,,,,,fls2g35u6e,SAS BP ID Card,1,78,Nos
,,,,,,fls27uf09q,DSE KIT,1,0,Nos
BOM-Grade 9 DSE Bookkit - (PA/MA/GS/SST)-001,Grade 9 DSE Bookkit - (PA/MA/GS/SST),Inventre Edu Services Pvt Ltd,1,INR,1,8qchp6ii1q,Beehive,1,0,Nos
,,,,,,8qc2pd7e48,Moments - English Suppl. Rdr,1,0,Nos
,,,,,,8qcpk8ei5r,Words and Expressions 1,1,0,Nos
,,,,,,8qctot6o11,Maths text (RS Agarwal) 9,1,0,Nos
,,,,,,8qc6ii9ih2,Maths Textbook 9,1,0,Nos
,,,,,,8qc2u3ojhe,Maths Lab Manual 9,1,251.6,Nos
,,,,,,8qc6qju8mk,Science Textbook 9,1,0,Nos
,,,,,,8qcb8fc7r1,Science Exempler Problems 9,1,99,Nos
,,,,,,8qcbq2o24h,Laboratory Manual Science 9,1,389,Nos
,,,,,,8qchhcm0rc,Contemporary India - Geography Grade 9,1,0,Nos
,,,,,,8qco03ghhk,India & Contemporary World History Grade 9,1,0,Nos
,,,,,,8qcqs0h1rv,Democratic Politics Grade 9,1,0,Nos
,,,,,,8qc9dfhbhq,Economics Textbook,1,0,Nos
,,,,,,8qcuho34s8,Panoramic - Indian Painting 9,1,243,Nos
,,,,,,8qcgv8fnok,CM Crown 200 pages Single ruled,12,47.41,Nos
,,,,,,8qc7ftutsc,CM Crown 200 pages Maths ruled,6,47.41,Nos
,,,,,,8qc4cq5g1e,CM 50 Pages Plain Drawing Book,1,22.93,Nos
,,,,,,8qc2tttna3,CM Long 50 Pages Graph Book,1,22.44,Nos
,,,,,,8qcoovs8pr,CM 200 Pages OSR Single Ruled Record Book,2,68.36,Nos
,,,,,,8qc4sb1bsh,CM 100 Pages OSR Single Ruled Record Book,2,42.4,Nos
,,,,,,8qc68ae8uc,CM Crown 100 pages Plain Book,1,22.5,Nos
,,,,,,8qca7k5g0b,SAS Flat File,1,13.14,Nos
,,,,,,8qc2la00i8,File Folder,1,4.43,Nos
,,,,,,8qcpk3qfk8,A4 Size Colour Paper Packet (25 sheets),1,19.42,Nos
,,,,,,8qcmg8p9t6,Transparent Roll,1,33.75,Nos
,,,,,,8qcp3p9teo,SAS BP Label Sheet,1,4.24,Nos
,,,,,,8qcnkmbjhl,Poster Paint (6 Shades),1,50,Nos
,,,,,,8qcp2tt128,"Flat Brushes - Size 1,3,5,6",6,88.75,Nos
,,,,,,8qcj19og1l,A4 Size Plain Sheets (25 sheets),2,18.64,Nos
,,,,,,8qcb5d3lpi,Opendoor Thinking Assessment-SAS,2,480,Nos
,,,,,,8qc1iu6ak9,Worksheet,1,300,Nos
,,,,,,8qch9335gs,SAS BP Almanac,1,75,Nos
,,,,,,8qchd3t5f0,SAS BP Mini Almanac,1,10.5,Nos
,,,,,,8qcrqvqjtr,SAS BP ID Card,1,78,Nos
,,,,,,8qcm52qaje,DSE KIT,1,0,Nos
BOM-Grade 9 DSE Bookkit - (PA/MA/HS/SST)-001,Grade 9 DSE Bookkit - (PA/MA/HS/SST),Inventre Edu Services Pvt Ltd,1,INR,1,166rp0a9dr,Beehive,1,0,Nos
,,,,,,1661lq8c9a,Moments - English Suppl. Rdr,1,0,Nos
,,,,,,166n3f9qjh,Words and Expressions 1,1,0,Nos
,,,,,,166j94k024,Maths text (RS Agarwal) 9,1,0,Nos
,,,,,,166jt5b21m,Maths Textbook 9,1,0,Nos
,,,,,,166hl3pqtd,Maths Lab Manual 9,1,251.6,Nos
,,,,,,166qo9qgeg,Contemporary India - Geography Grade 9,1,0,Nos
,,,,,,166l6ondlt,India & Contemporary World History Grade 9,1,0,Nos
,,,,,,1661s97uo8,Democratic Politics Grade 9,1,0,Nos
,,,,,,166d4fh9un,Economics Textbook,1,0,Nos
,,,,,,166p290mk0,Panoramic - Indian Painting 9,1,243,Nos
,,,,,,166fvanj9s,Comprehensive Home Science for Class IX- Anju Chauhan,1,0,Nos
,,,,,,166tobh1kv,CM Crown 200 pages Single ruled,12,47.41,Nos
,,,,,,166ct9bapj,CM Crown 200 pages Maths ruled,6,47.41,Nos
,,,,,,16621nqjhh,CM 50 Pages Plain Drawing Book,1,22.93,Nos
,,,,,,166co7613q,CM Long 50 Pages Graph Book,1,22.44,Nos
,,,,,,1664iota98,CM 200 Pages OSR Single Ruled Record Book,2,68.36,Nos
,,,,,,1662u242en,CM 100 Pages OSR Single Ruled Record Book,2,42.4,Nos
,,,,,,166vtt9jkb,CM Crown 100 pages Plain Book,1,22.5,Nos
,,,,,,166pfo58rl,SAS Flat File,1,13.14,Nos
,,,,,,1665l95lh3,File Folder,1,4.43,Nos
,,,,,,166aki0q3a,A4 Size Colour Paper Packet (25 sheets),1,19.42,Nos
,,,,,,1661ppogf8,Transparent Roll,1,33.75,Nos
,,,,,,166204jt03,SAS BP Label Sheet,1,4.24,Nos
,,,,,,166n5n40tj,Poster Paint (6 Shades),1,50,Nos
,,,,,,166ft9cpav,"Flat Brushes - Size 1,3,5,6",6,88.75,Nos
,,,,,,166lg53npk,A4 Size Plain Sheets (25 sheets),2,18.64,Nos
,,,,,,16657g3mlg,Opendoor Thinking Assessment-SAS,2,480,Nos
,,,,,,1666qb713q,Worksheet,1,300,Nos
,,,,,,1665h8kmq7,SAS BP Almanac,1,75,Nos
,,,,,,166k5klus9,SAS BP Mini Almanac,1,10.5,Nos
,,,,,,1664ak4eop,SAS BP ID Card,1,78,Nos
,,,,,,166056ajhn,DSE KIT,1,0,Nos
